Study ID,Study Title,Institute,Analysis,Released,Samples,tissue,condition,treatment,Download  (* : Contains raw data),url,Collection Summary,Sample Type,Collection Location,analysis_id,ion_mode,ms_instrument_type,ms_instrument_name,ms_method_file,lc_type,lc_system,column_model,lc_method_file,analytical_time,lc_summary
ST000270,Metabolomics in AML,University of Florida,LC-MS  #,12/22/16 0:00,27,serum,(pediatric AML patients),,Uploaded data (6.4G)  *  (Data format:mzML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000270,-,"Cells, Cultured",,AN000432,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000270,Metabolomics in AML,University of Florida,LC-MS  #,12/22/16 0:00,27,serum,(pediatric AML patients),,Uploaded data (6.4G)  *  (Data format:mzML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000270,-,"Cells, Cultured",,AN000433,NEGATIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000292,LC-MS Based Approaches to Investigate Metabolomic Differences in the Plasma of Young Women after Drinking Cranberry Juice or Apple Juice,University of Florida,LC-MS  #,12/22/16 0:00,51,plasma,,(after drink apple/cranberry juice),Uploaded data (4.8G)  *  (Data format:mzXML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000292,,Blood,,AN000466,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,Reversed phase,Thermo Scientific-Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000292,LC-MS Based Approaches to Investigate Metabolomic Differences in the Plasma of Young Women after Drinking Cranberry Juice or Apple Juice,University of Florida,LC-MS  #,12/22/16 0:00,51,plasma,,(after drink apple/cranberry juice),Uploaded data (4.8G)  *  (Data format:mzXML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000292,,Blood,,AN000467,NEGATIVE,Orbitrap,Thermo Q Exactive Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,Reversed phase,Thermo Scientific-Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000552,Metabolite signatures in trauma patients with venous thromboembolism (VTE),University of Florida,LC-MS  #,2/7/18 0:00,40,plasma,venous thromboembolism (VTE),,Uploaded data (3.5G)  *  (Data format:mzML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000552,"Whole blood samples were collected within 24 hours of hospital admission into EDTA-containing vacutainers (purple top). Samples were centrifuged at 2,500 g for 10 minutes to generate plasma which was then frozen continuously at -80 C.",Blood,,AN000843,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,Reversed phase,Thermo Scientific Q-Exactive,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000552,Metabolite signatures in trauma patients with venous thromboembolism (VTE),University of Florida,LC-MS  #,2/7/18 0:00,40,plasma,venous thromboembolism (VTE),,Uploaded data (3.5G)  *  (Data format:mzML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000552,"Whole blood samples were collected within 24 hours of hospital admission into EDTA-containing vacutainers (purple top). Samples were centrifuged at 2,500 g for 10 minutes to generate plasma which was then frozen continuously at -80 C.",Blood,,AN000844,NEGATIVE,Orbitrap,Thermo Q Exactive Orbitrap,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,Reversed phase,Thermo Scientific Q-Exactive,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=Metabolomics_LCMSProtocol_plasma.pdf,,
ST000608,Comparing identified and statistically significant lipids and polar metabolites in 15-year old serum and dried blood spot samples for longitudinal studies,Pacific Northwest National Laboratory,GC-MS/LC-MS,7/10/17 0:00,60,serum and dried blood spot samples(10),10 overnight fasted male participants having an average age of 75.5 ± 6.15 years.,,Uploaded data (6.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000608,"Matched DBS and serum samples were simultaneously collected in 2000‚Äì2001 from 10 overnight fasted male participants having an average age of 75.5 ¬± 6.15 years. The institutional review boards at the participating institutions approved the protocol and the study participants provided informed consent. Case participants included 5 diabetic men with high BMIs, TGs and glucose levels, and low amounts of HDL. The 5 control participants had normal metabolic profiles (normal BMIs, TGs, HDL and glucose levels).",Blood,,AN000929,POSITIVE,Orbitrap,Thermo Velos Pro Orbitrap,,Reversed phase,Waters NanoAcquity,,,,
ST000608,Comparing identified and statistically significant lipids and polar metabolites in 15-year old serum and dried blood spot samples for longitudinal studies,Pacific Northwest National Laboratory,GC-MS/LC-MS,7/10/17 0:00,60,serum and dried blood spot samples(10),10 overnight fasted male participants having an average age of 75.5 ± 6.15 years.,,Uploaded data (6.8G)  *  (Data format:raw(Thermo)),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000608,"Matched DBS and serum samples were simultaneously collected in 2000‚Äì2001 from 10 overnight fasted male participants having an average age of 75.5 ¬± 6.15 years. The institutional review boards at the participating institutions approved the protocol and the study participants provided informed consent. Case participants included 5 diabetic men with high BMIs, TGs and glucose levels, and low amounts of HDL. The 5 control participants had normal metabolic profiles (normal BMIs, TGs, HDL and glucose levels).",Blood,,AN000930,NEGATIVE,Orbitrap,Thermo Velos Pro Orbitrap,,Reversed phase,Waters NanoAcquity,,,,
ST000919,Investigating Eicosanoids Implications on the Blood Pressure Response to Thiazide Diuretics,University of Florida,LC-MS  #,1/22/19 0:00,140,plasma,,hydrochlorothiazide,Uploaded data (5.5G)  *  (Data format:mzXML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000919,Fasting plasma samples were collected at baseline (before hydrochlorothiazide),Plasma,,AN001506,POSITIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=GMetabolomics_LCMS_Protocol_092117.pdf,,
ST000919,Investigating Eicosanoids Implications on the Blood Pressure Response to Thiazide Diuretics,University of Florida,LC-MS  #,1/22/19 0:00,140,plasma,,hydrochlorothiazide,Uploaded data (5.5G)  *  (Data format:mzXML),https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?Mode=Study&StudyID=ST000919,Fasting plasma samples were collected at baseline (before hydrochlorothiazide),Plasma,,AN001507,NEGATIVE,Orbitrap,Thermo Q Exactive Orbitrap,,Reversed phase,Thermo Dionex Ultimate 3000,,https://www.metabolomicsworkbench.org/data/file_retrieve_and_download.php?FILENAME=GMetabolomics_LCMS_Protocol_092117.pdf,,
