id,title,size,affliations,organism_part,[Instrument],factors,keywords,public_released_date,description,organism,url,[Mass analyzer],[Scan m/z range],[Scan polarity],[CE Instrument],[Column type],[Column model],[Ion source],[Autosampler model],[Guard column],[Chromatography Instrument]
MTBLS7878,Circulating sepsis-related metabolite sphinganine could protect against intestinal damage during sepsis,15.67GB,[],['serum'],['Thermo Scientific Q Exactive HF-X'],['Disease'],"['untargeted metabolites', 'ultra-performance liquid chromatography-mass spectrometry', 'tandem mass spectrometry', 'Intestinal Flora', 'Septicemia']",7/28/23 0:00,"<h4><strong>INTRODUCTION:</strong> Sepsis is intricately linked to intestinal damage and barrier dysfunction. At present times, there is a growing interest in a metabolite-based therapy for multiple diseases.</h4><p><strong>METHODS:</strong> Serum samples from septic patients and healthy individuals were collected and their metabonomics profiling assessed using Ultra-Performance Liquid Chromatography-Time of Flight Mass Spectrometry (UPLC-TOFMS). The eXtreme Gradient Boosting algorithms (XGBOOST) method was used to screen essential metabolites associated with sepsis, and five machine learning models, including Logistic Regression, XGBoost, GaussianNB(GNB), upport vector machines(SVM) and RandomForest were constructed to distinguish sepsis including a training set (75%) and validation set(25%). The area under the receiver-operating characteristic curve (AUROC) and Brier scores were used to compare the prediction performances of different models. Pearson analysis was used to analysis the relationship between the metabolites and the severity of sepsis. Both cellular and animal models were used to HYPERLINK 'javascript:;' assess the function of the metabolites.</p><p><strong>RESULTS:</strong> The occurrence of sepsis involve metabolite dysregulation. The metabolites mannose-6-phosphate and sphinganine as the optimal sepsis-related variables screened by XGBOOST algorithm. The XGBoost model (AUROC=0.956) has the most stable performance to establish diagnostic model among the five machine learning methods. The SHapley Additive exPlanations (SHAP) package was used to interpret the XGBOOST model. Pearson analysis reinforced the expression of Sphinganine, Mannose 6-phosphate were positively associated with the APACHE-II, PCT, WBC, CRP and IL-6. We also demonstrated that sphinganine strongly diminished the LDH content in LPS-treated Caco-2 cells. In addition, using both <em>in vitro</em> and <em>in vivo</em> examination, we revealed that sphinganine strongly protects against sepsis-induced intestinal barrier injury.</p><p><strong>DISCUSSION:</strong> These findings highlighted the potential diagnostic value of the ML, and also provided new insight into enhanced therapy and/or preventative measures against sepsis.</p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS7878,['orbitrap'],['81-1000'],"['negative', 'positive']",,['reverse phase'],"['ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)']",['electrospray ionization'],[''],[''],['Thermo Scientific Vanquish UHPLC System']
MTBLS4895,Alignment of multiple metabolomics LC-MS datasets from disparate diseases to reveal fever-associated metabolites,30.53GB,[],"['matrix', 'mixture', 'blood plasma']",['Thermo Scientific Q Exactive'],"['Dataset', 'Infection']","['Zika Virus', 'malaria', 'visceral Leishmaniasis', 'Fever-associated infectious diseases', 'untargeted metabolites', 'Glasgow Polyomics', 'high-performance liquid chromatography-mass spectrometry', 'tandem mass spectrometry']",7/17/23 0:00,"<p>Acute febrile illnesses are still a major cause of mortality and morbidity globally, particularly in low to middle income countries. The aim of this study was to determine any possible metabolic commonalities of patients infected with disparate pathogens that cause fever. Three liquid chromatography-mass spectrometry (LC-MS) datasets investigating the metabolic effects of malaria, leishmaniasis and Zika virus infection were used. The retention time (RT) drift between the datasets was determined using landmarks obtained from the internal standards generally used in the quality control of the LC-MS experiments. Fitted Gaussian Process models (GPs) were used to perform a high level correction of the RT drift between the experiments, which was followed by standard peakset alignment between the samples with corrected RTs of the three LC-MS datasets. Statistical analysis, annotation and pathway analysis of the integrated peaksets were subsequently performed. Metabolic dysregulation patterns common across the datasets were identified, with kynurenine pathway being the most affected pathway between all three fever-associated datasets.</p>","['Internal standard', 'Homo sapiens', 'blank']",https://www.ebi.ac.uk/metabolights/editor/MTBLS4895,['orbitrap'],"['70-1050 ', '70-1050']","['negative', 'positive']",,['HILIC'],"['ZIC-pHILIC (5 µm, 4.6 mm x 150 mm; Merck Sequant)']",['electrospray ionization'],['Thermo Scientific UltiMate WPS-3000 TRS Autosampler'],"['ZIC-pHILIC Guard (5 µm, 2.1 mm x 20 mm; Merck Sequant)']",['Thermo Scientific Dionex UltiMate 3000 RSLC System']
MTBLS4294,Untargeted LC-HRMS Based-Plasma Metabolomics Reveals 3-O-Methyldopa as a New Biomarker of Poor Prognosis in High-Risk Neuroblastoma,132.35GB,['IRCCS G. Gasli'],"['solvent', 'blood plasma']",['Thermo Scientific Q Exactive Plus'],['Cohort'],"['Neuroblastoma', 'biomarker', 'catecholamine', 'ultra-performance liquid chromatography-mass spectrometry', 'untargeted metabolites', '3-O-methyldopa']",7/14/23 0:00,"Neuroblastoma (NB) is the most common extracranial malignant tumor in children. Although the survival rate of NB has improved over the years, the outcome of NB still remains poor for over 30% of cases. A more accurate risk stratification remains a key point in the study of NB and the availability of novel prognostic biomarkers of 'high-risk' at diagnosis could help improving patient stratification and predicting outcome. In this paper we show a biomarker discovery approach applied to the plasma of 172 NB patients. Plasma samples from a first cohort of NB patients and age-matched healthy controls were used for untargeted metabolomics analysis based on high-resolution mass spectrometry (HRMS). Differential expression analysis highlighted a number of metabolites annotated with a high degree of identification. Among them, 3-O-methyldopa (3-O-MD) was validated in a second cohort of NB patients using a targeted metabolite profiling approach and its prognostic potential was also analyzed by survival analysis on patients with 3 years follow-up. High expression of 3-O-MD was associated with worse prognosis in the subset of patients with stage M tumor (log-rank p < 0.05) and, among them, it was confirmed as a prognostic factor able to stratify high-risk patients older than 18 months. 3-O-MD might be thus considered as a novel prognostic biomarker of NB eligible to be included at diagnosis among catecholamine metabolite panels in prospective clinical studies. Further studies are warranted to exploit other potential biomarkers highlighted using our approach.","['Homo sapiens', 'blank']",https://www.ebi.ac.uk/metabolights/editor/MTBLS4294,['orbitrap'],['70-1200'],"['Negative', 'Positive']",,"['HILIC', 'reverse phase']","['ACQUITY UPLC BEH C18 (1.7 Âµm, 2.1 mm x 100 mm; Waters)', 'ACQUITY UPLC BEH Amide (1.7 Âµm, 2.1 mm x 150 mm; Waters)']",['electrospray ionization'],[''],[''],['Thermo Scientific Vanquish UHPLC System']
MTBLS2746,Simultaneously discovering the fate and biochemical effects of pharmaceuticals through untargeted metabolomics,626.42GB,"['AstraZeneca', 'University of Birmingham']","['Human induced pluripotent stem cell-derived cardiomyocyte', 'blood plasma', 'heart', 'pure substance', 'blank']","['Thermo Scientific Q Exactive Focus', 'Thermo Scientific Orbitrap ID-X Tribrid']","['Dataset', 'Subject ID', 'Treatment', 'Time']","['untargeted metabolites', 'ultra-performance liquid chromatography-mass spectrometry', 'Xenobiotic Metabolism', 'Lipidomics', 'metabolic phenotyping', 'tandem mass spectrometry']",7/3/23 0:00,"Untargeted metabolomics is an established approach in toxicology for characterising endogenous metabolic responses to xenobiotic exposure. Detecting the xenobiotic and its biotransformation products as part of the metabolomics analysis provides an opportunity to simultaneously gain deep insights into its fate and metabolism, and to associate the xenobiotic’s internal relative dose directly with endogenous metabolic responses. This integration of untargeted exposure and response measurements into a single assay has yet to be fully demonstrated. Here we assembled a workflow to discover and analyse xenobiotic-related measurements from routine untargeted UHPLC-MS metabolomics datasets, derived from in vivo (rat plasma and cardiac tissue, and human plasma) and in vitro (human cardiomyocytes) studies that were principally designed to investigate endogenous metabolic responses to drug exposure. Our findings clearly demonstrate how untargeted metabolomics can discover extensive xenobiotic biotransformation maps, temporally-changing relative systemic exposure, and direct associations of endogenous biochemical responses to the internal dose.","['Rattus norvegicus', 'Homo sapiens', 'blank', 'reference compound']",https://www.ebi.ac.uk/metabolights/editor/MTBLS2746,['orbitrap'],"['150-2000', '70-1050']","['negative', 'positive']",,"['HILIC', 'reverse phase']","['Accucore 150 Amide HILIC (2.6 µm, 2.1 mm x 100 mm; Thermo Scientific)', 'Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)']",['electrospray ionization'],,,"['Thermo Scientific Dionex Ultimate 3000 UHPLC system', 'Thermo Scientific Vanquish UHPLC System']"
MTBLS6039,"Serum organic acid metabolites can be used as potential biomarkers to identify prostatitis, benign prostatic hyperplasia, and prostate cancer (Untargeted assay).",15.30GB,"['Guangzhou Panyu Central Hospital,Guangzhou, China']",['blood serum'],['Thermo Scientific Q Exactive'],['Cohort'],"['organic acid metabolic process', 'ultra-performance liquid chromatography-mass spectrometry', 'prostatitis', 'benign prostatic hyperplasia', 'prostate cancer', 'tandem mass spectrometry', 'untargeted metabolites']",4/17/23 0:00,"<p><strong>BACKGROUND:</strong> Noninvasive methods for the early identify diagnosis of prostatitis, benign prostatic hyperplasia (BPH), and prostate cancer (PCa) are current clinical challenges.</p><p><strong>METHODS:</strong> The serum metabolites of 20 healthy individuals and patients with prostatitis, BPH, or PCa were identified using untargeted liquid chromatography-mass spectrometry (LC-MS).</p><p><strong>RESULTS:</strong> Organic acid metabolites had good sensitivity and specificity in differentiating prostatitis, BPH, and PCa. In addition, targeted LC-MS was used to verify the organic acid metabolites in the serum of a validation cohort. Three diagnostic models identified patients with PROSTATITIS: phenyllactic acid (area under the curve [AUC]=0.773), pyroglutamic acid (AUC=0.725), and pantothenic acid (AUC=0.721). Three diagnostic models identified BPH: citric acid (AUC=0.859), malic acid (AUC=0.820), and D-glucuronic acid (AUC=0.810). Four diagnostic models identified PCa: 3-hydroxy-3-methylglutaric acid (AUC=0.804), citric acid (AUC=0.918), malic acid (AUC=0.862), and phenyllactic acid (AUC=0.713). Two diagnostic models distinguished BPH from PCa: phenyllactic acid (AUC=0.769) and pyroglutamic acid (AUC=0.761). Three diagnostic models distinguished benign BPH from PROSTATITIS: citric acid (AUC=0.842), ethylmalonic acid (AUC=0.814), and hippuric acid (AUC=0.733). Six diagnostic models distinguished BPH from prostatitis: citric acid (AUC=0.926), pyroglutamic acid (AUC=0.864), phenyllactic acid (AUC=0.850), ethylmalonic acid (AUC=0.843), 3-hydroxy-3-methylglutaric acid (AUC=0.817), and hippuric acid (AUC=0.791). Three diagnostic models distinguished PCa patients with PROSTATITISA &lt; 4.0 ng/mL from those with PSA &gt; 4.0 ng/mL: 5-hydromethyl-2-furoic acid (AUC=0.749), ethylmalonic acid (A UC=0.750), and pyroglutamic acid (AUC=0.929).</p><p><strong>CONCLUSIONS:</strong> These results suggest that serum organic acid metabolites can be used as biomarkers to differentiate prostatitis, BPH, and PCa.</p><p><br></p><p><strong>Untargeted assay</strong> is reported in the current study <strong>MTBLS6039</strong>.</p><p><strong>Targeted organic acid assay</strong> is reported in <a href='https://www.ebi.ac.uk/metabolights/MTBLS6038' rel='noopener noreferrer' target='_blank'><strong>MTBLS6038</strong></a>.</p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS6039,['orbitrap'],['81-1000'],"['negative', 'positive']",,['reverse phase'],"['ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)']",['electrospray ionization'],[''],[''],['Thermo Scientific Vanquish UHPLC System']
MTBLS6728,Gut microbiota ameliorates hepatic fibrosis through modulating intestinal bile acid metabolism and hepatocyte pyroptosis (Hepatic fibrosis serum+feces),5.57GB,"['Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, 610041, China']","['serum', 'feces']",['Thermo Scientific Q Exactive Plus'],['Disease'],"['Hepatic fibrosis', 'acute liver injury', 'Drug Induced Liver Injury', 'liver cirrhosis', 'targeted metabolites', 'ultra-performance liquid chromatography-mass spectrometry', 'Intestinal Flora']",3/17/23 0:00,"<p><em>Parabacteroides distasonis</em> (<em>P. distasonis</em>) plays an important role in human health, including diabetes, colorectal cancer and inflammatory bowel disease. Here, we show that <em>P. distasonis</em> is decreased in patients with hepatic fibrosis, and that administration of P. distasonis to mice improves thioacetamide (TAA)- and methionine and choline deficient (MCD) diet-induced hepatic fibrosis. <em>P. distasonis</em> was associated with increased bile salt hydrolase (BSH) activity and inhibition of intestinal farnesoid X receptor (FXR) signaling leading to decreased taurochenodeoxycholic acid (TCDCA) levels in liver. The decrease of TCDCA improved activation of hepatic stellate cells (HSCs) through decreasing the mitochondrial permeability transition (MPT)-Caspase-11 pyroptosis pathway. Celastrol was demonstrated as a promoter of <em>P. distasonis</em>, which could inhibit intestinal FXR and increase the excretion of bile acids, leading to decreased hepatic TCDCA and prevention against TAA- and MCD diet-induced hepatic fibrosis. These data suggest that supplementation of <em>P. distasonis</em> may be a promising means to ameliorate hepatic fibrosis.</p><p><br></p><p><strong>Hepatic fibrosis serum+feces (sample 3) analysis</strong> is reported in the current study&nbsp;<a href='https://www.ebi.ac.uk/metabolights/MTBLS6728' rel='noopener noreferrer' target='_blank'><strong>MTBLS6728</strong></a>.</p><p><strong>Hepatic fibrosis serum (sample 1) analysis</strong> is reported in&nbsp;<a href='https://www.ebi.ac.uk/metabolights/MTBLS6732' rel='noopener noreferrer' target='_blank'><strong>MTBLS6732</strong></a>.</p><p><strong>Hepatic fibrosis feces (sample 2) analysis</strong> is reported in&nbsp;<a href='https://www.ebi.ac.uk/metabolights/MTBLS6742' rel='noopener noreferrer' target='_blank'><strong>MTBLS6742</strong></a>.</p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS6728,['orbitrap'],['60-900'],['negative'],,['reverse phase'],"['ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)']",['electrospray ionization'],[''],[''],['Thermo Scientific Vanquish UHPLC System']
MTBLS5828,Metabolic disorder and intestinal microflora dysbiosis in chronic inflammatory demyelinating polyradiculoneuropathy,0.04MB,['Shandong First Medical University'],['blood'],['Thermo Scientific Q Exactive'],['Cohort'],"['chronic inflammatory demyelinating polyradiculoneuropathy', 'bile acids', 'arachidonic acid', 'Intestinal Flora', 'untargeted metabolites', 'ultra-performance liquid chromatography-mass spectrometry', 'tandem mass spectrometry']",1/16/23 0:00,"<p><strong>OBJECTIVE:</strong> Chronic inflammatory demyelinating polyradiculoneuropathy (CIDP) is a rare acquired immune-mediated neuropathy. Although microbial infection is potentially a contributing factor, a causative link between CIDP and microbial infection remains unclear. There is also no definitive biomarker for CIDP diagnostics and therapies. The present study aimed to characterize the serum metabolic profile and gut microbiome structure in CIDP.</p><p><strong>METHODS:</strong> Targeted metabolomics profiling of serum, using liquid chromatography-mass spectrometry, and metagenomics sequencing of stool samples from a cohort of CIDP and non-CIDP subjects were performed to evaluate serum metabolic profiles and gut microbiome structure in CIDP subjects relative to healthy controls.</p><p><strong>RESULTS:</strong> Metabolome data revealed that the bile acids profile was perturbed in CIDP with bile acids and arachidonic acid enriched significantly in CIDP versus non-CIDP controls. Metagenome data revealed that opportunistic pathogens, such as Klebsiella pneumonia and Megamonas funiformis, and genes involved in bacterial infection were notably more abundant in CIDP subjects, while gut microbes related to biotransformation of secondary bile acids were abnormal in CIDP versus non-CIDP subjects. Correlation analysis revealed that changes in secondary bile acids were associated with altered gut microbes, including Bacteroides ovatus, Bacteroides caccae, and Ruminococcus gnavus.</p><p><strong>CONCLUSION:</strong> Bile acids and arachidonic acid metabolism were disturbed in CIDP subjects and might be affected by the dysbiosis of gut microbial flora. These findings suggest that the combination of bile acids and arachidonic acid could be used as a CIDP biomarker and that modulation of gut microbiota might impact the clinical course of CIDP.</p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS5828,['orbitrap'],['70-1050'],"['negative', 'positive']",,['reverse phase'],"['ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)']",['electrospray ionization'],[''],[''],['Waters ACQUITY UPLC system']
MTBLS5568,The Impact of Ethnicity and Intra-Pancreatic Fat on the Postprandial Metabolome Response to Whey Protein in Overweight Asian Chinese and European Caucasian Women with Prediabetes,18.33GB,['Agresearch NZ'],['blood plasma'],['Thermo Scientific Exactive'],"['WPI', 'Gender', 'Ethnic group', 'Age', 'BMI', 'MRI pancreas fat', 'Time', 'Batch']","['ethnicity', 'Prediabetes', 'pancreatic fat', 'Whey Protein Isolate', 'untargeted metabolites', 'Machine Learning', 'Enrichment analysis', 'network analysis', 'ultra-performance liquid chromatography-mass spectrometry']",10/12/22 0:00,"The 'Thin on the Outside Fat on the Inside' TOFI_Asia study found Asian Chinese to be more susceptible to Type 2 Diabetes (T2D) compared to European Caucasians matched for gender and body mass index (BMI). This was influenced by degree of visceral adipose deposition and ectopic fat accumulation in key organs, including liver and pancreas, leading to altered fasting plasma glucose, insulin resistance, and differences in plasma lipid and metabolite profiles. It remains unclear how intra-pancreatic fat deposition (IPFD) impacts TOFI phenotype-related T2D risk factors associated with Asian Chinese. Cow’s milk whey protein isolate (WPI) is an insulin secretagogue which can suppress hyperglycemia in prediabetes. In this dietary intervention, we used untargeted metabolomics to characterize the postprandial WPI response in 24 overweight women with prediabetes. Participants were classified by ethnicity (Asian Chinese, n=12; European Caucasian, n=12) and IPFD (low IPFD < 4.66%, n=10; high IPFD ≥ 4.66%, n=10). Using a cross-over design participants were randomized to consume three WPI beverages on separate occasions; 0 g (water control), 12.5 g (low protein, LP) and 50 g (high protein, HP), consumed when fasted. An exclusion pipeline for isolating metabolites with temporal (T0-240mins) WPI responses was implemented, and a support vector machine-recursive feature elimination (SVM-RFE) algorithm was used to model relevant metabolites by ethnicity and IPFD classes. Metabolic network analysis identified glycine as a central hub in both ethnicity and IPFD WPI response networks. A depletion of glycine relative to WPI concentration was detected in Chinese and high IPFD participants independent of BMI. Urea cycle metabolites were highly represented among the ethnicity WPI metabolome model, implicating a dysregulation in ammonia and nitrogen metabolism among Chinese participants. Uric acid and purine synthesis pathways were enriched within the high IPFD cohort’s WPI metabolome response, implicating adipogenesis and insulin resistance pathways. In conclusion, the discrimination of ethnicity from WPI metabolome profiles was a stronger prediction model than IPFD in overweight women with prediabetes. Each models’ discriminatory metabolites enriched different metabolic pathways that help to further characterize prediabetes in Asian Chinese women and women with increased IPFD, independently.",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS5568,['orbitrap'],['55-1100'],"['negative', 'positive']",,['HILIC'],"['ZIC-pHILIC (5 µm, 2.1 mm x 100 mm; Merck Sequant)']",['electrospray ionization'],[''],[''],['Thermo Scientific Accela 1250 Pump']
MTBLS833,Rare and common genetic determinants of metabolic individuality and their effects on human health (EPIC-Norfolk study assays),7.00GB,"['Strangeways Research Laboratory', 'MRC Epidemiology Unit']",['blood plasma'],['Q Exactive'],[],"['ultra-performance liquid chromatography-mass spectrometry', 'targeted metabolites', 'metabolon', 'GWAS study', 'Genetics', 'disease']",9/9/22 0:00,"<p>Garrod’s concept of “chemical individuality” has contributed to comprehension of the molecular origins of human diseases. Untargeted high-throughput metabolomic technologies provide an in-depth snapshot of human metabolism at scale. We studied the genetic architecture of the human plasma metabolome using 913 metabolites assayed in 19,994 individuals and identified 2,599 variant-metabolite associations (P&lt;1.25x10^-11) within 330 genomic regions, with rare variants (MAF≤1%) explaining 9.4% of associations. Jointly modelling metabolites in each region, we identified 423 regional, co-regulated, variant-metabolite clusters called GIMs (Genetically Influenced Metabotypes). We assigned causal genes for 62.4% of GIMs, providing new insights into fundamental metabolite physiology and their clinical relevance, including metabolite guided discovery of potential adverse drug effects (<em>DPYD</em>, <em>SRD5A2</em>). We show strong enrichment of Inborn Errors of Metabolism (IEM)-causing genes, with examples of metabolite associations and clinical phenotypes of non-pathogenic variant carriers matching characteristics of IEMs. Systematic, phenotypic follow-up of metabolite-specific genetic scores revealed multiple potential aetiological relationships.</p><p><br></p><p><strong>EPIC-Norfolk study assays</strong> are reported in the current study <strong>MTBLS833</strong></p><p><strong>INTERVAL study assays</strong> are reported in <a href='https://www.ebi.ac.uk/metabolights/MTBLS834' rel='noopener noreferrer' target='_blank'><strong>MTBLS834</strong></a></p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS833,['orbitrap'],"['110-1000', '70-1000', '80-1000']","['negative scan', 'positive scan']",,"['HILIC', 'reverse phase']","['ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 150 mm; Waters)', 'ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)']",['electrospray ionization'],,,['Waters ACQUITY UPLC system']
MTBLS3852,Amino Acid Metabolism is Significantly Altered at the Time of Admission in Hospital for Severe COVID-19 Patients: Findings from Longitudinal Targeted Metabolomics Analysis,18.23GB,['Latvian Biomedical Research and Study Centre'],['blood serum'],['Thermo Scientific Q Exactive'],"['Disease staging', 'Patient ID']","['targeted metabolites', 'COVID-19', 'Longitudinal Study', 'Host-Pathogen Interactions', 'high-performance liquid chromatography-mass spectrometry', 'tandem mass spectrometry']",8/23/22 0:00,"<p>The heterogeneity in severity and outcome of COVID-19 cases points out the urgent need for early molecular characterization of patients followed by risk-stratified care. The main objective of this study was to evaluate the fluctuations of serum metabolomic profiles of COVID-19 patients with severe illness during the different disease stages in a longitudinal manner. We demonstrate a distinct metabolomic signature in serum samples of 32 hospitalized patients at the acute phase compared to the recovery period, suggesting the tryptophan (tryptophan, kynurenine and 3-hydroxy-DL-kynurenine) and arginine (citrulline and ornithine) metabolism as contributing pathways in the immune response to SARS-CoV-2 with a potential link to the clinical severity of the disease. In addition, we suggest that glutamine deprivation may further result in inhibited M2 macrophage polarization as a complementary process, and highlight the contribution of phenylalanine and tyrosine in the molecular mechanisms underlying the severe course of the infection. In conclusion, our results provide several functional metabolic markers for disease progression and severe outcome with potential clinical application.</p>",['Homo sapiens'],https://www.ebi.ac.uk/metabolights/editor/MTBLS3852,['orbitrap'],['50 - 400'],['positive'],,['HILIC'],"['ACQUITY UPLC BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)']",['electrospray ionization'],[''],"['ACQUITY UPLC BEH C18 VanGuard Pre-column (1.7 µm, 2.1 mm x 5 mm; Waters)']",['Thermo Scientific Dionex Ultimate 3000 HPLC system']
